ASNo,Number of Nodes,Running SUM,Nodes/33
AS135206,1,6885,
AS262476,1,6886,
AS211559,1,6887,
AS9286,1,6888,
AS136547,1,6889,
AS133380,1,6890,
AS34224,1,6891,
AS39927,1,6892,
AS55106,1,6893,
AS59253,1,6894,
AS14754,1,6895,
AS7794,1,6896,
AS44056,1,6897,
AS23089,1,6898,
AS30784,1,6899,
AS31477,1,6900,
AS5408,1,6901,
AS46719,1,6902,
AS55140,1,6903,
AS39586,1,6904,
AS58073,1,6905,
AS5538,1,6906,
AS202422,1,6907,
AS35158,1,6908,
AS8615,1,6909,
AS201746,1,6910,
AS48881,1,6911,
AS138369,1,6912,
AS50829,1,6913,
AS20665,1,6914,
AS51191,1,6915,
AS18618,1,6916,
AS203557,1,6917,
AS27947,1,6918,
AS397142,1,6919,
AS135556,1,6920,
AS44592,1,6921,
AS135932,1,6922,
AS394147,1,6923,
AS6798,1,6924,
AS200590,1,6925,
AS27221,1,6926,
AS41676,1,6927,
AS6849,1,6928,
AS28725,1,6929,
AS43888,1,6930,
AS37002,1,6931,
AS9121,1,6932,
AS12177,1,6933,
AS11830,1,6934,
AS15895,1,6935,
AS35819,1,6936,
AS22581,1,6937,
AS62136,1,6938,
AS6681,1,6939,
AS9430,1,6940,
AS63018,1,6941,
AS12912,1,6942,
AS57497,1,6943,
AS3170,1,6944,
AS14576,1,6945,
AS202759,1,6946,
AS12301,1,6947,
AS17547,1,6948,
AS41525,1,6949,
AS20021,1,6950,
AS394778,1,6951,
AS21554,1,6952,
AS9123,1,6953,
AS8324,1,6954,
AS44486,1,6955,
AS56668,1,6956,
AS9891,1,6957,
AS50673,1,6958,
AS61776,1,6959,
AS29405,1,6960,
AS16803,1,6961,
AS213195,1,6962,
AS57184,1,6963,
AS2852,1,6964,
AS394660,1,6965,
AS10838,1,6966,
AS264642,1,6967,
AS31845,1,6968,
AS33991,1,6969,
AS60071,1,6970,
AS60078,1,6971,
AS37722,1,6972,
AS133774,1,6973,
AS55811,1,6974,
AS1426,1,6975,
AS21017,1,6976,
AS25668,1,6977,
AS138066,1,6978,
AS8400,1,6979,
AS39762,1,6980,
AS49120,1,6981,
AS39392,1,6982,
AS49974,1,6983,
AS53340,1,6984,
AS10010,1,6985,
AS136000,1,6986,
AS394146,1,6987,
AS25534,1,6988,
AS10620,1,6989,
AS34123,1,6990,
AS48078,1,6991,
AS29222,1,6992,
AS17451,1,6993,
AS13046,1,6994,
AS59845,1,6995,
AS213111,1,6996,
AS104,1,6997,
AS142403,1,6998,
AS36556,1,6999,
AS15502,1,7000,
AS50340,1,7001,
AS39324,1,7002,
AS59108,1,7003,
AS40749,1,7004,
AS24282,1,7005,
AS61046,1,7006,
AS63612,1,7007,
AS43939,1,7008,
AS16895,1,7009,
AS52257,1,7010,
AS46537,1,7011,
AS20911,1,7012,
AS134674,1,7013,
AS4685,1,7014,
AS200514,1,7015,
AS197252,1,7016,
AS22611,1,7017,
AS8046,1,7018,
AS42159,1,7019,
AS57269,1,7020,
AS208764,1,7021,
AS35196,1,7022,
AS200088,1,7023,
AS21949,1,7024,
AS38389,1,7025,
AS35467,1,7026,
AS25486,1,7027,
AS52173,1,7028,
AS8970,1,7029,
AS3268,1,7030,
AS25227,1,7031,
AS48614,1,7032,
AS44133,1,7033,
AS42065,1,7034,
AS14589,1,7035,
AS9931,1,7036,
AS49743,1,7037,
AS42729,1,7038,
AS266989,1,7039,
AS49352,1,7040,
AS199782,1,7041,
AS28118,1,7042,
AS1764,1,7043,
AS61335,1,7044,
AS8680,1,7045,
AS16592,1,7046,
AS8551,1,7047,
AS31246,1,7048,
AS206892,1,7049,
AS18371,1,7050,
AS44489,1,7051,
AS59711,1,7052,
AS45055,1,7053,
AS56630,1,7054,
AS47674,1,7055,
AS34896,1,7056,
Sum,7056,,
