blockGenerator,time
15_L2_UNIV15_miner_152,2022-05-04 21:57:55.549553
15_L2_UNIV15_miner_152,2022-05-04 21:58:09.822869
15_L2_UNIV15_miner_152,2022-05-04 21:58:23.942925
15_L2_UNIV15_miner_152,2022-05-04 21:58:38.146810
15_L2_UNIV15_miner_152,2022-05-04 21:58:52.623789
15_L2_UNIV15_miner_152,2022-05-04 21:59:06.771547
15_L2_UNIV15_miner_151,2022-05-04 21:59:21.207461
15_L2_UNIV15_miner_152,2022-05-04 21:59:35.883871
15_L2_UNIV15_miner_152,2022-05-04 21:59:50.391522
15_L2_UNIV15_miner_151,2022-05-04 22:00:04.849240
15_L2_UNIV15_miner_152,2022-05-04 22:00:19.169325
15_L2_UNIV15_miner_152,2022-05-04 22:00:33.617290
15_L2_UNIV15_miner_152,2022-05-04 22:00:48.116994
15_L2_UNIV15_miner_152,2022-05-04 22:01:02.445304
15_L2_UNIV15_miner_151,2022-05-04 22:01:16.667940
15_L2_UNIV15_miner_151,2022-05-04 22:01:31.075559
15_L2_UNIV15_miner_152,2022-05-04 22:01:45.479959
15_L2_UNIV15_miner_152,2022-05-04 22:02:00.085218
15_L2_UNIV15_miner_151,2022-05-04 22:02:14.485764
15_L2_UNIV15_miner_152,2022-05-04 22:02:28.880588
15_L2_UNIV15_miner_152,2022-05-04 22:02:43.185499
blockNum,time,hosts,delta
17,2022-05-04 22:02:01.356135,14_L2_UNIV14_miner_147,0 days 00:00:01.270917
18,2022-05-04 22:02:15.725462,14_L2_UNIV14_miner_147,0 days 00:00:01.239698
19,2022-05-04 22:02:30.227008,14_L2_UNIV14_miner_147,0 days 00:00:01.346420
0,2022-05-04 21:57:56.976230,14_L2_UNIV14_miner_146,0 days 00:00:01.426677
1,2022-05-04 21:58:11.311393,14_L2_UNIV14_miner_146,0 days 00:00:01.488524
2,2022-05-04 21:58:25.360035,14_L2_UNIV14_miner_146,0 days 00:00:01.417110
3,2022-05-04 21:58:39.566835,14_L2_UNIV14_miner_146,0 days 00:00:01.420025
4,2022-05-04 21:58:54.011994,14_L2_UNIV14_miner_146,0 days 00:00:01.388205
5,2022-05-04 21:59:08.202762,14_L2_UNIV14_miner_146,0 days 00:00:01.431215
6,2022-05-04 21:59:22.604330,14_L2_UNIV14_miner_146,0 days 00:00:01.396869
7,2022-05-04 21:59:37.274247,14_L2_UNIV14_miner_146,0 days 00:00:01.390376
8,2022-05-04 21:59:51.827974,14_L2_UNIV14_miner_146,0 days 00:00:01.436452
9,2022-05-04 22:00:06.244878,14_L2_UNIV14_miner_146,0 days 00:00:01.395638
10,2022-05-04 22:00:20.561729,14_L2_UNIV14_miner_146,0 days 00:00:01.392404
11,2022-05-04 22:00:35.040872,14_L2_UNIV14_miner_146,0 days 00:00:01.423582
12,2022-05-04 22:00:49.564527,14_L2_UNIV14_miner_146,0 days 00:00:01.447533
13,2022-05-04 22:01:03.911825,14_L2_UNIV14_miner_146,0 days 00:00:01.466521
14,2022-05-04 22:01:18.088202,14_L2_UNIV14_miner_146,0 days 00:00:01.420262
15,2022-05-04 22:01:32.511172,14_L2_UNIV14_miner_146,0 days 00:00:01.435613
16,2022-05-04 22:01:46.977003,14_L2_UNIV14_miner_146,0 days 00:00:01.497044
17,2022-05-04 22:02:01.507598,14_L2_UNIV14_miner_146,0 days 00:00:01.422380
18,2022-05-04 22:02:15.896711,14_L2_UNIV14_miner_146,0 days 00:00:01.410947
19,2022-05-04 22:02:30.378135,14_L2_UNIV14_miner_146,0 days 00:00:01.497547
0,2022-05-04 21:57:57.104868,14_L2_UNIV14_miner_145,0 days 00:00:01.555315
1,2022-05-04 21:58:11.462973,14_L2_UNIV14_miner_145,0 days 00:00:01.640104
2,2022-05-04 21:58:25.511263,14_L2_UNIV14_miner_145,0 days 00:00:01.568338
3,2022-05-04 21:58:39.727174,14_L2_UNIV14_miner_145,0 days 00:00:01.580364
4,2022-05-04 21:58:54.137610,14_L2_UNIV14_miner_145,0 days 00:00:01.513821
5,2022-05-04 21:59:08.367061,14_L2_UNIV14_miner_145,0 days 00:00:01.595514
6,2022-05-04 21:59:22.727814,14_L2_UNIV14_miner_145,0 days 00:00:01.520353
7,2022-05-04 21:59:37.425173,14_L2_UNIV14_miner_145,0 days 00:00:01.541302
8,2022-05-04 21:59:51.940169,14_L2_UNIV14_miner_145,0 days 00:00:01.548647
9,2022-05-04 22:00:06.368662,14_L2_UNIV14_miner_145,0 days 00:00:01.519422
10,2022-05-04 22:00:20.730176,14_L2_UNIV14_miner_145,0 days 00:00:01.560851
11,2022-05-04 22:00:35.197756,14_L2_UNIV14_miner_145,0 days 00:00:01.580466
12,2022-05-04 22:00:49.695221,14_L2_UNIV14_miner_145,0 days 00:00:01.578227
13,2022-05-04 22:01:04.055653,14_L2_UNIV14_miner_145,0 days 00:00:01.610349
14,2022-05-04 22:01:18.253145,14_L2_UNIV14_miner_145,0 days 00:00:01.585205
15,2022-05-04 22:01:32.666778,14_L2_UNIV14_miner_145,0 days 00:00:01.591219
16,2022-05-04 22:01:47.126586,14_L2_UNIV14_miner_145,0 days 00:00:01.646627
17,2022-05-04 22:02:01.633111,14_L2_UNIV14_miner_145,0 days 00:00:01.547893
18,2022-05-04 22:02:16.041323,14_L2_UNIV14_miner_145,0 days 00:00:01.555559
19,2022-05-04 22:02:30.533319,14_L2_UNIV14_miner_145,0 days 00:00:01.652731
0,2022-05-04 21:57:57.223308,14_L2_UNIV14_miner_144,0 days 00:00:01.673755
1,2022-05-04 21:58:11.611815,14_L2_UNIV14_miner_144,0 days 00:00:01.788946
